codigo_ibge,nome,latitude,longitude,capital,codigo_uf,ddd
5200050,Abadia de Goiás,-16.785571523032655,-49.452097906864765,False,52,62
3100104,Abadia dos Dourados,-18.353312153621978,-47.45899743998418,False,31,34
5200100,Abadiânia,-16.186546076037363,-48.713493937645836,False,52,62
3100203,Abaeté,-19.102748504280083,-45.35867495768383,False,31,37
1500107,Abaetetuba,-1.7302565857060372,-48.88306843040013,False,15,91
2300101,Abaiara,-7.36057394731255,-39.03682474704177,False,23,88
2900108,Abaíra,-13.296568982504457,-41.74289387292217,False,29,77
2900207,Abaré,-8.833540430613667,-39.31769285968655,False,29,75
4100103,Abatiá,-23.307150685013795,-50.30960942245719,False,41,43
4200051,Abdon Batista,-27.58382489988436,-51.05626283062604,False,42,49
1500131,Abel Figueiredo,-4.957318686811447,-48.42460077266513,False,15,94
4200101,Abelardo Luz,-26.562426854055346,-52.25571912212555,False,42,49
3100302,Abre Campo,-20.273171851761674,-42.44263431506808,False,31,31
2600054,Abreu e Lima,-7.879660783441743,-35.01914464088059,False,26,81
1700251,Abreulândia,-9.478807702403895,-49.31125314636035,False,17,63
3100401,Acaiaca,-20.399832016561398,-43.10120204265814,False,31,31
2100055,Açailândia,-4.785820888056343,-47.332429062503046,False,21,99
2900306,Acajutiba,-11.663171754527221,-38.00053100007609,False,29,75
1500206,Acará,-2.0353860938633,-48.41145009696902,False,15,91
2300150,Acarape,-4.217063096529975,-38.66281568993322,False,23,85
2300200,Acaraú,-2.9678978182219127,-40.08813329886749,False,23,88
2400109,Acari,-6.409361681112219,-36.65011514168319,False,24,84
2200053,Acauã,-8.305962587444256,-41.00167432197139,False,22,89
4300034,Aceguá,-31.690648275196423,-54.13918106915589,False,43,53
2300309,Acopiara,-6.122030613940162,-39.49384181317315,False,23,88
5100102,Acorizal,-15.177269351799572,-56.318035765048656,False,51,65
1200013,Acrelândia,-9.93393359582432,-66.95016850856912,False,12,68
5200134,Acreúna,-17.45232812874985,-50.32603315249298,False,52,64
2400208,Açu,-5.526647957442563,-37.01411461202104,False,24,84
3100500,Açucena,-19.052635029113333,-42.45074354659948,False,31,33
3500105,Adamantina,-21.576682210920264,-51.056802358755256,False,35,18
5200159,Adelândia,-16.369115110616157,-50.18463547271972,False,52,64
3500204,Adolfo,-21.288685099671543,-49.653283445580875,False,35,17
4100202,Adrianópolis,-24.7834527894294,-48.82120865161059,False,41,41
2900355,Adustina,-10.562272033948474,-38.037636838378674,False,29,75
2600104,Afogados da Ingazeira,-7.737287290703074,-37.61826611371127,False,26,87
2400307,Afonso Bezerra,-5.471434570283209,-36.59989402024796,False,24,84
3200102,Afonso Cláudio,-20.089426737539778,-41.1265138036406,False,32,27
2100105,Afonso Cunha,-4.214778150802177,-43.29735622127031,False,21,98
2600203,Afrânio,-8.61892909700135,-41.00539530584436,False,26,87
1500305,Afuá,-0.2628410480459565,-50.72590506778536,False,15,91
2600302,Agrestina,-8.456613774828979,-35.94524500893149,False,26,81
2200103,Agricolândia,-5.768187444787128,-42.68237224807945,False,22,86
4200200,Agrolândia,-27.455116394057253,-49.82477985782452,False,42,47
4200309,Agronômica,-27.327559425851405,-49.720746860026516,False,42,47
1500347,Água Azul do Norte,-6.772978656703908,-50.430154953375144,False,15,94
3100609,Água Boa,-18.02726478729931,-42.27593246345093,False,31,33
5100201,Água Boa,-13.977564266635287,-52.50025307843359,False,51,66
2200202,Água Branca,-5.914075073382469,-42.628119817740824,False,22,86
2500106,Água Branca,-7.47048771078003,-37.66262187079044,False,25,83
2700102,Água Branca,-9.265026197564719,-37.898720130692745,False,27,82
5000203,Água Clara,-19.96282225753582,-52.9266922015425,False,50,67
3100708,Água Comprida,-20.005448924319392,-48.08420561425457,False,31,34
4200408,Água Doce,-26.7656476569194,-51.61183659547241,False,42,49
2100154,Água Doce do Maranhão,-2.946424229862581,-42.166194869242574,False,21,98
3200169,Água Doce do Norte,-18.516648956543637,-40.99675853794752,False,32,27
2900405,Água Fria,-11.823178409819453,-38.7104659968065,False,29,75
5200175,Água Fria de Goiás,-14.906503707940729,-47.79514213028951,False,52,62
5200209,Água Limpa,-18.079849818439428,-48.791106857392194,False,52,64
2400406,Água Nova,-6.2086246162517575,-38.308643806166536,False,24,84
2600401,Água Preta,-8.729272832976186,-35.48184971034892,False,26,81
4300059,Água Santa,-28.213856827141225,-52.051749189611684,False,43,54
3500303,Aguaí,-22.049956302083515,-47.04031989294538,False,35,19
3100807,Aguanil,-20.97377893479093,-45.42202415220388,False,31,35
2600500,Águas Belas,-9.08704453863361,-37.038648051829064,False,26,87
3500402,Águas da Prata,-21.913710333867165,-46.691677607834755,False,35,19
4200507,Águas de Chapecó,-27.05438603399416,-52.95673528580013,False,42,49
3500501,Águas de Lindóia,-22.474823173496965,-46.6036720808946,False,35,19
3500550,Águas de Santa Bárbara,-22.85795483690765,-49.26103703543736,False,35,14
3500600,Águas de São Pedro,-22.598649693262153,-47.87608964724377,False,35,19
3100906,Águas Formosas,-17.04164348372105,-40.97390487614262,False,31,33
4200556,Águas Frias,-26.851638850978212,-52.85231123380807,False,42,49
5200258,Águas Lindas de Goiás,-15.755753701776019,-48.28572973264023,False,52,61
4200606,Águas Mornas,-27.733480957555447,-48.93602693595452,False,42,48
3101003,Águas Vermelhas,-15.683155040294187,-41.52151131409444,False,31,33
4300109,Agudo,-29.60808719598865,-53.22658129018865,False,43,55
3500709,Agudos,-22.57193420521978,-49.10876753978452,False,35,14
4100301,Agudos do Sul,-26.027756044774478,-49.311246091213704,False,41,41
3200136,Águia Branca,-18.970334247008665,-40.74950605138288,False,32,27
2500205,Aguiar,-7.074081797692779,-38.21377921303689,False,25,83
1700301,Aguiarnópolis,-6.48857878574513,-47.51337206056164,False,17,63
3101102,Aimorés,-19.625175846713223,-41.21394044464048,False,31,33
2900603,Aiquara,-14.091818535297062,-39.88086171730242,False,29,73
2300408,Aiuaba,-6.605146587662539,-40.29858517304276,False,23,88
3101201,Aiuruoca,-21.954612078608665,-44.64758707401228,False,31,35
4300208,Ajuricaba,-28.209931295476302,-53.737199091900415,False,43,55
3101300,Alagoa,-22.186620027876984,-44.660634419704124,False,31,35
2500304,Alagoa Grande,-7.059072013640405,-35.60284228514875,False,25,83
2500403,Alagoa Nova,-7.0616433720176035,-35.76691739430746,False,25,83
2500502,Alagoinha,-6.961968174563599,-35.522213727373035,False,25,83
2600609,Alagoinha,-8.494728608617152,-36.758124541294876,False,26,87
2200251,Alagoinha do Piauí,-6.929342651291996,-40.91974302991251,False,22,89
2900702,Alagoinhas,-12.113125674242017,-38.402235222964705,False,29,75
3500758,Alambari,-23.54892702783309,-47.869055054270746,False,35,15
3101409,Albertina,-22.19853993346259,-46.61370277880712,False,31,35
2100204,Alcântara,-2.379298383692864,-44.5398683497719,False,21,98
2300507,Alcântaras,-3.592264851215153,-40.543017848585805,False,23,88
2500536,Alcantil,-7.689910350901784,-36.04671160769479,False,25,83
5000252,Alcinópolis,-18.20915243908209,-53.74919234816971,False,50,67
2900801,Alcobaça,-17.46923111455741,-39.40955626195783,False,29,73
2100303,Aldeias Altas,-4.502868809692353,-43.383479150293226,False,21,99
4300307,Alecrim,-27.651751016053982,-54.78321686114019,False,43,55
3200201,Alegre,-20.719496190096752,-41.51493531287567,False,32,28
4300406,Alegrete,-29.76394255312669,-55.83575104558928,False,43,55
2200277,Alegrete do Piauí,-7.200515433260387,-40.79750336355078,False,22,89
4300455,Alegria,-27.81354340689008,-54.056208238740034,False,43,55
3101508,Além Paraíba,-21.826448740008136,-42.74646414332008,False,31,32
